iter	RMSE
213	6189.002012
214	6112.494828
215	6038.937956
216	5817.663508
217	5748.824859
218	5595.822363
219	5469.491111
220	5332.284299
221	5269.907637
222	5152.270945
223	5024.573805
224	4912.937552
225	4773.769089
226	4703.282943
227	4539.063087
228	4434.170001
229	4339.292634
230	4286.292832
231	4195.414477
232	4134.426276
233	4018.40828
234	3852.998048
235	3727.982452
236	3626.460153
237	3547.480227
238	3451.832414
239	3377.541854
240	3287.397602
241	3245.179514
242	3176.149479
243	3091.949871
244	2998.400486
245	2897.779075
246	2827.274852
247	2759.309329
248	2667.833825
249	2633.999619
250	2571.255748
251	2493.466947
252	2434.773591
253	2375.415697
254	2317.956909
255	2224.570607
256	2175.449549
257	2126.086996
258	2080.634703
259	2034.954277
260	1993.803185
261	1954.138964
262	1908.151614
263	1857.067152
264	1833.372408
265	1810.562529
266	1788.611254
267	1752.955061
268	1718.465323
269	1697.736242
270	1642.168144
271	1610.044757
272	1579.061259
273	1552.756212
274	1503.285624
275	1462.019559
276	1423.314463
277	1404.827609
278	1387.096638
279	1348.52303
280	1331.122395
281	1305.235487
282	1271.455991
283	1243.977153
284	1221.268016
285	1206.117786
286	1169.740481
287	1123.916397
288	1103.492604
289	1083.776973
290	1051.181233
291	1029.87129
292	1001.064353
293	981.1933321
294	954.4057384
295	926.3789971
296	908.4849799
297	884.5628648
298	861.7244027
299	834.3956796
300	808.860091
301	783.8870529
302	764.127206
303	745.1231425
304	721.1487201
305	698.5357629
306	675.1953135
307	652.7451834
308	636.6086091
309	615.9869787
310	601.0817889
311	581.5327468
312	564.1494839
313	550.1515645
314	533.9457781
315	518.6663995
316	505.9265526
317	493.6988883
318	482.9548869
319	470.2786542
320	456.7997952
321	445.4878458
322	432.9284387
323	422.3484106
324	407.2936807
325	397.4819484
326	383.6648807
327	374.555456
328	364.7598658
329	354.3635149
330	346.3739362
331	334.7685821
332	327.228256
333	319.9314181
334	310.985219
335	304.0681568
336	296.3494218
337	289.7978578
338	281.8623796
339	272.8612821
340	265.4744953
341	256.8175194
342	248.1664318
343	241.2384037
344	233.7094938
345	227.4438077
346	219.8794599
347	214.9717591
348	210.2194869
349	205.2917966
350	200.8019835
351	195.5184359
352	191.2493073
353	187.1163547
354	183.1156858
355	178.1207052
356	172.4669254
357	167.8152373
358	163.5492888
359	159.1757277
360	154.9937366
361	149.9297878
362	146.3111258
363	142.4152168
364	139.7688441
365	136.6870494
366	132.2956557
367	128.5768651
368	125.7418293
369	123.3792458
370	121.0975183
371	118.4980503
372	115.0500719
373	111.6310849
374	107.7929568
375	105.2153965
376	102.0630087
377	99.65871879
378	96.76312764
379	94.03931782
380	91.86914384
381	89.78797152
382	87.72125362
383	85.76709716
384	83.55654322
385	81.40870587
386	79.34277879
387	77.61715373
388	75.52467917
389	73.86471932
390	72.00164728
391	69.37020794
392	67.43318978
393	65.95608667
394	64.53437704
395	63.16551127
396	61.84713288
397	59.95785438
398	58.14673285
399	55.8967481
